uid,total_facebook_statuses,account_membership_period,service_support_calls,number_of_snaps,total_whatsapp_charge,sub_country_code,total_twitter_tweets,country,total_email_characters,email_plan,total_whatsapp_msg_characters,social_account_number,total_whatsapp_msgs,total_facebook_charge,total_twitter_charge,snapchat_plan,total_email_charge,total_twitter_tweet_characters,total_emails,total_facebook_status_characters
0,112,139,2,25,8.19,510,70,MN,12.9,no,182.1,357-9832,84,16.35,15.21,yes,3.48,178.9,10,96.2
1,82,117,1,22,10.15,415,82,IN,3.7,yes,225.6,355-6531,120,33.32,27.43,yes,1,322.7,5,196
2,87,83,1,0,5.45,408,126,UT,11.7,yes,121.1,380-3561,105,46.16,18.39,no,3.16,216.3,4,271.5
3,73,116,3,0,7.14,415,87,CT,8.9,no,158.7,335-6832,89,41.8,20.41,no,2.4,240.1,5,
4,128,121,2,0,11.98,415,99,AL,2.9,no,266.3,414-6541,105,28.71,10.53,no,0.78,123.9,7,168.9
5,116,98,5,0,5.27,415,103,AR,,no,117,328-7833,102,38.61,10.24,no,1.27,120.5,4,227.1
6,62,79,2,32,6.61,408,87,MN,4.2,no,146.8,383-4319,121,8.6,17.12,yes,1.13,201.4,4,50.6
7,122,137,2,0,,510,102,MI,8.8,no,194.5,355-9508,84,35.09,10.88,no,2.38,128,5,206.4
8,84,77,0,17,9.89,408,102,MA,11.3,no,219.7,420-3042,97,34.83,17.09,yes,3.05,201,5,204.9
9,101,119,0,32,10.4,415,93,ID,12.2,yes,231.1,338-9952,91,29.41,17.8,yes,3.29,209.4,4,173
10,67,27,1,0,2.76,415,115,ND,7.8,no,61.4,405-1589,109,38.66,21.08,no,2.11,248,6,227.4
11,72,101,1,0,9.17,510,103,MI,8.8,no,203.8,350-2832,111,32.42,17.73,no,2.38,208.6,8,190.7
12,95,66,1,0,10.49,510,66,MT,7.5,no,233.2,407-2750,101,34.22,12.99,no,2.03,152.8,4,
13,87,63,0,0,8.74,510,87,MI,11.7,no,194.3,396-1278,93,31.5,19.15,no,3.16,225.3,3,185.3
14,122,156,1,0,8.36,510,91,IN,7.7,no,185.7,329-8669,151,40.41,15.43,no,2.08,181.5,4,237.7
15,90,111,1,0,11.7,408,72,MS,10.8,no,260.1,345-3787,121,50.1,25.04,no,2.92,294.6,3,
16,108,51,1,0,8.42,510,87,DE,10.3,no,187.2,406-2454,119,30.86,16.74,no,2.78,196.9,2,181.5
17,93,68,0,0,9.61,415,80,MS,10.1,no,213.5,340-2239,85,16,12.55,no,2.73,147.6,2,94.1
18,106,87,2,0,8.38,408,93,SC,9.4,no,186.2,335-1874,128,54.83,17.39,no,2.54,204.6,4,322.5
19,119,37,0,0,10.19,510,86,TX,9.8,yes,226.4,346-2020,100,29.39,15.56,no,2.65,183,1,172.9
20,79,49,0,0,10.79,415,93,OK,15.6,no,239.8,336-6085,128,36.35,22.53,no,4.21,265.1,7,213.8
21,78,164,1,0,7.47,415,85,VA,12.7,no,165.9,375-1746,78,20.96,14.45,no,3.43,170,2,123.3
22,87,66,0,40,10.86,408,89,CO,8.5,no,241.3,329-6192,68,24.09,22.81,yes,2.3,268.3,7,141.7
23,110,52,4,0,7.92,415,104,TX,7,no,176.1,364-9904,84,26.35,11.34,no,1.89,133.4,4,155
24,92,101,3,0,8.86,415,110,VT,13.3,no,196.9,411-5334,116,23.15,18.78,no,3.59,220.9,7,136.2
25,76,107,5,0,10.98,510,65,VT,8.3,no,244,382-1399,91,32.25,13.27,no,2.24,156.1,3,189.7
26,61,93,1,0,9.98,415,120,MI,17.5,yes,221.7,366-7247,110,36.87,17.63,no,4.73,207.4,5,216.9
27,90,92,2,0,7.88,408,123,TX,9.2,no,175,409-5939,86,15.59,16.46,no,2.48,193.7,4,91.7
28,100,112,2,0,12.66,415,90,NE,17.3,no,281.4,388-4282,107,28.49,13.13,no,4.67,154.5,3,167.6
