uid,total_facebook_statuses,account_membership_period,service_support_calls,number_of_snaps,total_whatsapp_charge,sub_country_code,total_twitter_tweets,country,total_email_characters,email_plan,total_whatsapp_msg_characters,social_account_number,total_whatsapp_msgs,total_facebook_charge,total_twitter_charge,snapchat_plan,total_email_charge,total_twitter_tweet_characters,total_emails,total_facebook_status_characters,turn_anti_social
0,110,80,1,15,6.35,408,120,MO,11.9,yes,141.2,405-4420,82,27.08,14.5,yes,3.21,170.6,5,159.3,0
1,103,66,2,0,8.88,415,77,OH,10.5,no,197.3,408-6305,138,28.99,21.62,no,2.84,254.3,2,170.5,0
2,92,49,2,0,7.55,415,119,SC,15.6,yes,167.8,340-4972,86,40.43,17.76,no,4.21,208.9,6,,1
3,125,103,3,0,9.93,510,113,SD,12.2,no,220.6,412-7278,95,35.11,15.32,no,3.29,180.2,4,206.5,0
4,106,194,0,0,10.13,510,150,GA,,no,225.2,333-6575,122,32.86,14.37,no,3.19,169,4,193.3,0
5,112,110,2,0,6.3,408,93,OR,11.7,no,140,333-3421,119,25.47,15.3,no,3.16,,4,149.8,0
6,123,124,1,0,11.49,408,104,NV,5.3,no,255.4,396-3068,93,25.69,15.93,no,1.43,187.4,3,,0
7,107,91,0,37,12.48,510,115,NE,9.2,no,277.4,334-1508,94,27.59,19.88,yes,2.48,233.9,4,162.3,0
8,95,166,0,0,8.91,408,105,MN,9.8,no,198,333-5551,126,25.86,10.29,no,2.65,121,5,152.1,0
9,108,172,3,0,6.89,408,125,MD,14.4,no,153.2,346-5068,98,48.81,15.16,no,3.89,178.4,2,287.1,1
10,133,66,4,0,6.84,510,121,AZ,9.5,no,151.9,337-8618,100,26.18,16.91,no,2.57,198.9,3,154,1
11,85,69,3,0,,415,100,AL,9,no,228,389-4278,94,31.18,20.2,no,2.43,,5,183.4,0
12,89,13,4,0,8.39,415,90,NH,9.7,no,186.5,356-7580,104,32.84,16.52,no,2.62,194.4,2,,0
13,81,139,2,0,8.9,510,99,DC,9.7,no,197.8,368-8964,76,34.54,12.96,no,2.62,152.5,3,203.2,0
14,105,87,1,0,3.05,510,108,IL,13,no,67.7,390-4152,136,39.32,14.59,no,3.51,171.7,6,231.3,0
15,105,94,3,0,9.97,510,105,WY,11.5,no,221.6,353-8363,51,46.1,17.22,no,3.11,,3,271.2,1
16,123,107,1,26,11.45,415,103,OH,13.7,no,254.4,371-7191,103,27.47,16.62,yes,3.7,,3,161.6,0
17,88,108,3,25,7.46,510,113,PA,8.7,no,165.7,379-3037,99,29.02,9.34,yes,2.35,109.9,1,170.7,0
18,96,91,1,34,6.48,415,122,UT,,no,143.9,380-9849,76,29.8,22.3,yes,1.51,262.3,11,175.3,0
19,80,73,4,0,9.06,415,115,OH,7.5,no,201.4,338-4065,100,31.18,20.57,no,2.03,242,3,183.4,0
20,85,81,1,0,5.41,510,50,DE,7.8,yes,120.3,374-4664,131,42.6,15.97,no,2.11,187.9,5,250.6,0
21,114,93,1,0,8.83,510,127,TN,11.4,yes,196.2,344-6847,48,28.63,23.46,no,3.08,276,3,168.4,0
22,91,96,1,29,10.26,408,75,AK,8.5,no,228.1,334-4506,55,25.5,13.55,yes,2.3,159.4,3,150,0
23,140,165,0,33,12.04,415,111,OR,,no,267.6,409-8453,115,18.97,18.13,yes,4.32,213.3,3,111.6,0
24,104,116,3,0,12.53,415,79,OR,,yes,278.5,331-7425,109,36.62,17.41,no,3.4,204.8,5,,0
25,79,131,1,0,6.8,408,114,GA,11.6,no,151.2,380-9879,111,33.49,17.09,no,3.13,201,5,,0
26,118,68,1,24,7.86,415,116,FL,14.7,no,174.7,360-7076,71,29.92,23.62,yes,3.97,277.9,7,,0
27,113,165,3,39,,415,94,MD,9.5,no,192.6,398-4814,113,28.46,14.68,yes,2.57,172.7,4,167.4,0
28,86,96,1,18,11.68,510,113,WI,9.8,no,259.5,343-2605,70,29.36,11.34,yes,2.65,133.4,3,172.7,0
29,113,71,3,0,8.19,415,94,NV,13.6,yes,182.1,352-8327,111,30.29,14.26,no,3.67,167.8,3,,1
30,83,64,3,0,10.74,415,91,KY,12.5,yes,238.6,349-8391,69,24.94,12.61,no,3.38,148.3,3,146.7,0
31,57,56,0,0,13.95,408,97,NM,9.2,no,310.1,332-5964,110,24.84,16.68,no,2.48,196.2,3,146.1,0
32,138,166,2,35,13.45,408,113,WA,8.8,yes,298.9,416-5849,130,21.79,23.33,yes,2.38,274.5,7,128.2,0
33,89,20,2,0,12.29,408,51,WI,12.3,no,273.1,344-5967,105,31.76,21.54,no,3.32,253.4,6,,0
34,111,113,1,0,9.62,415,118,VT,8.5,no,213.8,419-1714,105,46.26,22.82,no,2.3,268.5,10,272.1,1
35,95,121,1,41,6.61,415,92,UT,9.6,no,147,337-2348,108,36.64,20.55,yes,2.59,241.8,3,215.5,0
36,106,166,1,0,,415,118,ID,12.4,no,206.1,385-1830,102,37.52,15.11,no,3.35,177.8,9,220.7,0
37,101,55,3,39,11.09,408,117,AK,8.1,no,246.5,365-6756,104,23.68,15.16,yes,2.19,,1,139.3,0
38,85,93,1,31,8.67,415,100,MA,10.7,no,192.7,368-3287,87,40.32,18.11,yes,2.89,213.1,4,237.2,0
39,81,87,3,0,8.25,510,103,SD,13.7,no,183.4,363-3818,96,31.37,14.62,no,3.7,172,3,184.5,0
40,115,36,3,0,,415,115,MO,10.2,no,202,336-1462,127,34.41,19.61,no,2.75,230.7,2,202.4,0
41,87,32,0,0,6.93,510,90,AL,6.3,no,154,404-9680,53,39.25,15.93,no,1.7,187.4,2,230.9,0
42,90,21,6,31,8.06,510,84,OR,9.5,no,179.1,383-5976,89,23.1,23.04,yes,2.57,271,7,135.9,0
